Device: cuda
Vocab: 33277 | train tokens: 2,051,910 | val tokens: 213,886

Model config: {'vocab_size': 33277, 'block_size': 128, 'n_layer': 6, 'n_head': 4, 'n_embd': 256, 'dropout': 0.1}
Train config: {'n_steps': 50000, 'batch_size': 64, 'lr': 0.0003, 'weight_decay': 0.01, 'grad_clip': 1.0, 'eval_every': 250, 'eval_batches': 20}
Noise config: {'n_steps': 500, 'noise_std': 1.0, 'log_every': 100}

/home/dbrayjr5/miniconda3/envs/noise/lib/python3.10/site-packages/torch/cuda/__init__.py:1061: UserWarning: Can't initialize NVML
  raw_cnt = _raw_device_count_nvml()
======================================================================
Phase 0: Gaussian embedding-noise pretraining (std=1.0)
======================================================================
  [noise-pretrain] step     1/500 | loss 66.3001 (chance=10.413) | std=1.00 | 0.7s
  [noise-pretrain] step   100/500 | loss 32.9704 (chance=10.413) | std=1.00 | 23.3s
  [noise-pretrain] step   200/500 | loss 24.2870 (chance=10.413) | std=1.00 | 47.7s
  [noise-pretrain] step   300/500 | loss 18.3145 (chance=10.413) | std=1.00 | 73.6s
  [noise-pretrain] step   400/500 | loss 14.7699 (chance=10.413) | std=1.00 | 100.3s
  [noise-pretrain] step   500/500 | loss 12.8712 (chance=10.413) | std=1.00 | 125.8s
  done.

======================================================================
Phase 1: Baseline (standard cross-entropy)
======================================================================
[     baseline] step  7250 | tr_full  5.6020 | tr_mis  6.8760 | val_ce 5.5533 | ppl 258.10 | acc 0.2275 | ece 0.0268 | H 5.237 | miss 0.775
[     baseline] step  7500 | tr_full  5.5606 | tr_mis  6.8373 | val_ce 5.5377 | ppl 254.10 | acc 0.2273 | ece 0.0272 | H 5.222 | miss 0.774
[     baseline] step  7750 | tr_full  5.5265 | tr_mis  6.8048 | val_ce 5.5135 | ppl 248.01 | acc 0.2282 | ece 0.0208 | H 5.321 | miss 0.772
[     baseline] step  8000 | tr_full  5.4829 | tr_mis  6.7664 | val_ce 5.4893 | ppl 242.08 | acc 0.2302 | ece 0.0243 | H 5.187 | miss 0.770
[     baseline] step  8250 | tr_full  5.4540 | tr_mis  6.7353 | val_ce 5.4646 | ppl 236.18 | acc 0.2302 | ece 0.0285 | H 5.167 | miss 0.769
[     baseline] step  8500 | tr_full  5.4089 | tr_mis  6.7002 | val_ce 5.4363 | ppl 229.58 | acc 0.2320 | ece 0.0271 | H 5.184 | miss 0.767
[     baseline] step  8750 | tr_full  5.3719 | tr_mis  6.6620 | val_ce 5.4209 | ppl 226.09 | acc 0.2311 | ece 0.0260 | H 5.172 | miss 0.766
[     baseline] step  9000 | tr_full  5.3391 | tr_mis  6.6308 | val_ce 5.4025 | ppl 221.96 | acc 0.2328 | ece 0.0254 | H 5.205 | miss 0.764
[     baseline] step  9250 | tr_full  5.3166 | tr_mis  6.6082 | val_ce 5.3684 | ppl 214.53 | acc 0.2338 | ece 0.0256 | H 5.170 | miss 0.763
[     baseline] step  9500 | tr_full  5.2893 | tr_mis  6.5800 | val_ce 5.3429 | ppl 209.12 | acc 0.2346 | ece 0.0187 | H 5.158 | miss 0.763
[     baseline] step  9750 | tr_full  5.2529 | tr_mis  6.5517 | val_ce 5.3346 | ppl 207.40 | acc 0.2349 | ece 0.0301 | H 5.055 | miss 0.760
[     baseline] step 10000 | tr_full  5.2272 | tr_mis  6.5216 | val_ce 5.3224 | ppl 204.88 | acc 0.2344 | ece 0.0266 | H 5.005 | miss 0.760
[     baseline] step 10250 | tr_full  5.1756 | tr_mis  6.4872 | val_ce 5.3004 | ppl 200.41 | acc 0.2371 | ece 0.0288 | H 5.034 | miss 0.756
[     baseline] step 10500 | tr_full  5.1474 | tr_mis  6.4548 | val_ce 5.2823 | ppl 196.82 | acc 0.2362 | ece 0.0250 | H 5.082 | miss 0.755
[     baseline] step 10750 | tr_full  5.1282 | tr_mis  6.4342 | val_ce 5.2654 | ppl 193.53 | acc 0.2385 | ece 0.0291 | H 4.966 | miss 0.755
[     baseline] step 11000 | tr_full  5.1035 | tr_mis  6.4133 | val_ce 5.2484 | ppl 190.26 | acc 0.2377 | ece 0.0318 | H 4.943 | miss 0.753
[     baseline] step 11250 | tr_full  5.0741 | tr_mis  6.3849 | val_ce 5.2406 | ppl 188.79 | acc 0.2391 | ece 0.0323 | H 4.871 | miss 0.752
[     baseline] step 11500 | tr_full  5.0661 | tr_mis  6.3805 | val_ce 5.2364 | ppl 188.00 | acc 0.2377 | ece 0.0348 | H 4.866 | miss 0.751
[     baseline] step 11750 | tr_full  5.0279 | tr_mis  6.3392 | val_ce 5.2035 | ppl 181.91 | acc 0.2403 | ece 0.0309 | H 4.903 | miss 0.750
[     baseline] step 12000 | tr_full  5.0028 | tr_mis  6.3222 | val_ce 5.2029 | ppl 181.80 | acc 0.2404 | ece 0.0295 | H 4.890 | miss 0.748
[     baseline] step 12250 | tr_full  4.9695 | tr_mis  6.2945 | val_ce 5.1858 | ppl 178.72 | acc 0.2407 | ece 0.0330 | H 4.796 | miss 0.746
[     baseline] step 12500 | tr_full  4.9494 | tr_mis  6.2803 | val_ce 5.1760 | ppl 176.98 | acc 0.2412 | ece 0.0259 | H 4.911 | miss 0.745
[     baseline] step 12750 | tr_full  4.9249 | tr_mis  6.2554 | val_ce 5.1598 | ppl 174.12 | acc 0.2429 | ece 0.0257 | H 4.905 | miss 0.744
[     baseline] step 13000 | tr_full  4.9163 | tr_mis  6.2447 | val_ce 5.1495 | ppl 172.35 | acc 0.2430 | ece 0.0242 | H 4.918 | miss 0.744
[     baseline] step 13250 | tr_full  4.9029 | tr_mis  6.2337 | val_ce 5.1565 | ppl 173.55 | acc 0.2423 | ece 0.0289 | H 4.789 | miss 0.743
[     baseline] step 13500 | tr_full  4.8808 | tr_mis  6.2155 | val_ce 5.1419 | ppl 171.03 | acc 0.2431 | ece 0.0398 | H 4.696 | miss 0.741
[     baseline] step 13750 | tr_full  4.8489 | tr_mis  6.1776 | val_ce 5.1382 | ppl 170.41 | acc 0.2430 | ece 0.0327 | H 4.761 | miss 0.741
[     baseline] step 14000 | tr_full  4.8196 | tr_mis  6.1608 | val_ce 5.1363 | ppl 170.08 | acc 0.2441 | ece 0.0346 | H 4.748 | miss 0.738
[     baseline] step 14250 | tr_full  4.8253 | tr_mis  6.1667 | val_ce 5.1171 | ppl 166.86 | acc 0.2449 | ece 0.0321 | H 4.716 | miss 0.738
[     baseline] step 14500 | tr_full  4.7987 | tr_mis  6.1410 | val_ce 5.1317 | ppl 169.30 | acc 0.2432 | ece 0.0354 | H 4.750 | miss 0.737
[     baseline] step 14750 | tr_full  4.7653 | tr_mis  6.1103 | val_ce 5.1163 | ppl 166.71 | acc 0.2444 | ece 0.0366 | H 4.665 | miss 0.736
[     baseline] step 15000 | tr_full  4.7577 | tr_mis  6.1021 | val_ce 5.1156 | ppl 166.60 | acc 0.2435 | ece 0.0356 | H 4.712 | miss 0.735
[     baseline] step 15250 | tr_full  4.7477 | tr_mis  6.0937 | val_ce 5.0982 | ppl 163.73 | acc 0.2457 | ece 0.0447 | H 4.556 | miss 0.734
[     baseline] step 15500 | tr_full  4.7259 | tr_mis  6.0780 | val_ce 5.0849 | ppl 161.56 | acc 0.2458 | ece 0.0384 | H 4.664 | miss 0.733
[     baseline] step 15750 | tr_full  4.7129 | tr_mis  6.0623 | val_ce 5.0852 | ppl 161.62 | acc 0.2456 | ece 0.0431 | H 4.624 | miss 0.732
[     baseline] step 16000 | tr_full  4.6863 | tr_mis  6.0418 | val_ce 5.0879 | ppl 162.06 | acc 0.2469 | ece 0.0501 | H 4.507 | miss 0.731
[     baseline] step 16250 | tr_full  4.6784 | tr_mis  6.0360 | val_ce 5.0956 | ppl 163.30 | acc 0.2460 | ece 0.0414 | H 4.586 | miss 0.730
[     baseline] step 16500 | tr_full  4.6843 | tr_mis  6.0396 | val_ce 5.0772 | ppl 160.32 | acc 0.2474 | ece 0.0392 | H 4.614 | miss 0.730
[     baseline] step 16750 | tr_full  4.6549 | tr_mis  6.0106 | val_ce 5.0732 | ppl 159.68 | acc 0.2457 | ece 0.0289 | H 4.706 | miss 0.729
[     baseline] step 17000 | tr_full  4.6234 | tr_mis  5.9866 | val_ce 5.0867 | ppl 161.86 | acc 0.2466 | ece 0.0405 | H 4.587 | miss 0.727
[     baseline] step 17250 | tr_full  4.6271 | tr_mis  5.9841 | val_ce 5.0653 | ppl 158.43 | acc 0.2479 | ece 0.0377 | H 4.586 | miss 0.728
[     baseline] step 17500 | tr_full  4.6084 | tr_mis  5.9773 | val_ce 5.0819 | ppl 161.09 | acc 0.2482 | ece 0.0478 | H 4.493 | miss 0.725
