$ mistake_only_experiment.py --n_steps 50000

Device: cuda
Vocab: 65 | train tokens: 1,003,854 | val tokens: 111,540

Model config: {'vocab_size': 65, 'block_size': 128, 'n_layer': 4, 'n_head': 4, 'n_embd': 128, 'dropout': 0.1}
Train config: {'n_steps': 50000, 'batch_size': 64, 'lr': 0.0003, 'weight_decay': 0.01, 'grad_clip': 1.0, 'eval_every': 250, 'eval_batches': 20}
Noise config: {'n_steps': 500, 'noise_std': 1.0, 'log_every': 100}

======================================================================
Phase 0: Gaussian embedding-noise pretraining (std=1.0)
======================================================================
  [noise-pretrain] step     1/500 | loss 26.6190 (chance=4.174) | std=1.00 | 0.5s
  [noise-pretrain] step   100/500 | loss 4.3730 (chance=4.174) | std=1.00 | 3.2s
  [noise-pretrain] step   200/500 | loss 4.2273 (chance=4.174) | std=1.00 | 6.0s
  [noise-pretrain] step   300/500 | loss 4.2013 (chance=4.174) | std=1.00 | 8.9s
  [noise-pretrain] step   400/500 | loss 4.1983 (chance=4.174) | std=1.00 | 11.7s
  [noise-pretrain] step   500/500 | loss 4.1914 (chance=4.174) | std=1.00 | 14.5s
  done.

======================================================================
Phase 1: Baseline (standard cross-entropy)
======================================================================
[     baseline] step  7250 | tr_full  1.5649 | tr_mis  2.7349 | val_ce 1.7171 | ppl   5.57 | acc 0.4940 | ece 0.0456 | H 1.522 | miss 0.488
[     baseline] step  7500 | tr_full  1.5508 | tr_mis  2.7064 | val_ce 1.7104 | ppl   5.53 | acc 0.4991 | ece 0.0322 | H 1.533 | miss 0.484
[     baseline] step  7750 | tr_full  1.5676 | tr_mis  2.7411 | val_ce 1.7061 | ppl   5.51 | acc 0.4994 | ece 0.0374 | H 1.520 | miss 0.482
[     baseline] step  8000 | tr_full  1.5882 | tr_mis  2.7419 | val_ce 1.6899 | ppl   5.42 | acc 0.5016 | ece 0.0317 | H 1.522 | miss 0.479
[     baseline] step  8250 | tr_full  1.5616 | tr_mis  2.7372 | val_ce 1.6863 | ppl   5.40 | acc 0.5049 | ece 0.0297 | H 1.520 | miss 0.477
[     baseline] step  8500 | tr_full  1.5319 | tr_mis  2.7094 | val_ce 1.6835 | ppl   5.38 | acc 0.5072 | ece 0.0344 | H 1.499 | miss 0.475
[     baseline] step  8750 | tr_full  1.5388 | tr_mis  2.7196 | val_ce 1.6840 | ppl   5.39 | acc 0.5073 | ece 0.0387 | H 1.483 | miss 0.472
[     baseline] step  9000 | tr_full  1.5241 | tr_mis  2.7524 | val_ce 1.6818 | ppl   5.38 | acc 0.5083 | ece 0.0415 | H 1.471 | miss 0.471
[     baseline] step  9250 | tr_full  1.5540 | tr_mis  2.7406 | val_ce 1.6626 | ppl   5.27 | acc 0.5111 | ece 0.0328 | H 1.495 | miss 0.468
[     baseline] step  9500 | tr_full  1.5110 | tr_mis  2.7076 | val_ce 1.6642 | ppl   5.28 | acc 0.5128 | ece 0.0378 | H 1.480 | miss 0.468
[     baseline] step  9750 | tr_full  1.5241 | tr_mis  2.7204 | val_ce 1.6606 | ppl   5.26 | acc 0.5151 | ece 0.0371 | H 1.459 | miss 0.467
[     baseline] step 10000 | tr_full  1.5351 | tr_mis  2.7037 | val_ce 1.6557 | ppl   5.24 | acc 0.5157 | ece 0.0309 | H 1.476 | miss 0.464
[     baseline] step 10250 | tr_full  1.4889 | tr_mis  2.7243 | val_ce 1.6551 | ppl   5.23 | acc 0.5164 | ece 0.0373 | H 1.455 | miss 0.462
[     baseline] step 10500 | tr_full  1.5337 | tr_mis  2.7480 | val_ce 1.6492 | ppl   5.20 | acc 0.5170 | ece 0.0360 | H 1.461 | miss 0.460
[     baseline] step 10750 | tr_full  1.4962 | tr_mis  2.7084 | val_ce 1.6464 | ppl   5.19 | acc 0.5189 | ece 0.0386 | H 1.440 | miss 0.460
[     baseline] step 11000 | tr_full  1.4806 | tr_mis  2.7192 | val_ce 1.6404 | ppl   5.16 | acc 0.5193 | ece 0.0261 | H 1.472 | miss 0.458
[     baseline] step 11250 | tr_full  1.5535 | tr_mis  2.7340 | val_ce 1.6364 | ppl   5.14 | acc 0.5212 | ece 0.0388 | H 1.433 | miss 0.459
[     baseline] step 11500 | tr_full  1.4786 | tr_mis  2.7011 | val_ce 1.6361 | ppl   5.13 | acc 0.5214 | ece 0.0469 | H 1.408 | miss 0.457
[     baseline] step 11750 | tr_full  1.4702 | tr_mis  2.6953 | val_ce 1.6387 | ppl   5.15 | acc 0.5243 | ece 0.0353 | H 1.427 | miss 0.454
[     baseline] step 12000 | tr_full  1.4977 | tr_mis  2.7195 | val_ce 1.6283 | ppl   5.10 | acc 0.5240 | ece 0.0359 | H 1.433 | miss 0.454
[     baseline] step 12250 | tr_full  1.4557 | tr_mis  2.7038 | val_ce 1.6299 | ppl   5.10 | acc 0.5262 | ece 0.0349 | H 1.428 | miss 0.453
[     baseline] step 12500 | tr_full  1.4357 | tr_mis  2.7072 | val_ce 1.6242 | ppl   5.07 | acc 0.5255 | ece 0.0435 | H 1.410 | miss 0.451
[     baseline] step 12750 | tr_full  1.4968 | tr_mis  2.7120 | val_ce 1.6209 | ppl   5.06 | acc 0.5267 | ece 0.0362 | H 1.423 | miss 0.452
[     baseline] step 13000 | tr_full  1.4526 | tr_mis  2.7088 | val_ce 1.6193 | ppl   5.05 | acc 0.5289 | ece 0.0308 | H 1.430 | miss 0.450
[     baseline] step 13250 | tr_full  1.4511 | tr_mis  2.6910 | val_ce 1.6153 | ppl   5.03 | acc 0.5284 | ece 0.0420 | H 1.397 | miss 0.448
[     baseline] step 13500 | tr_full  1.4746 | tr_mis  2.7028 | val_ce 1.6160 | ppl   5.03 | acc 0.5289 | ece 0.0362 | H 1.409 | miss 0.447
[     baseline] step 13750 | tr_full  1.4704 | tr_mis  2.7139 | val_ce 1.6102 | ppl   5.00 | acc 0.5307 | ece 0.0366 | H 1.402 | miss 0.447
[     baseline] step 14000 | tr_full  1.4565 | tr_mis  2.6962 | val_ce 1.6065 | ppl   4.99 | acc 0.5302 | ece 0.0357 | H 1.408 | miss 0.446
[     baseline] step 14250 | tr_full  1.4179 | tr_mis  2.6594 | val_ce 1.6028 | ppl   4.97 | acc 0.5315 | ece 0.0372 | H 1.392 | miss 0.445
[     baseline] step 14500 | tr_full  1.4609 | tr_mis  2.6770 | val_ce 1.6049 | ppl   4.98 | acc 0.5321 | ece 0.0373 | H 1.397 | miss 0.444
[     baseline] step 14750 | tr_full  1.4446 | tr_mis  2.6895 | val_ce 1.5969 | ppl   4.94 | acc 0.5330 | ece 0.0390 | H 1.391 | miss 0.443
[     baseline] step 15000 | tr_full  1.4230 | tr_mis  2.6702 | val_ce 1.5934 | ppl   4.92 | acc 0.5346 | ece 0.0329 | H 1.396 | miss 0.442
[     baseline] step 15250 | tr_full  1.3795 | tr_mis  2.6887 | val_ce 1.5955 | ppl   4.93 | acc 0.5352 | ece 0.0444 | H 1.354 | miss 0.441
[     baseline] step 15500 | tr_full  1.4103 | tr_mis  2.6720 | val_ce 1.5919 | ppl   4.91 | acc 0.5351 | ece 0.0383 | H 1.385 | miss 0.440
[     baseline] step 15750 | tr_full  1.4343 | tr_mis  2.6805 | val_ce 1.5945 | ppl   4.93 | acc 0.5350 | ece 0.0348 | H 1.392 | miss 0.440
[     baseline] step 16000 | tr_full  1.4195 | tr_mis  2.7046 | val_ce 1.5947 | ppl   4.93 | acc 0.5336 | ece 0.0429 | H 1.368 | miss 0.440
[     baseline] step 16250 | tr_full  1.4221 | tr_mis  2.6913 | val_ce 1.5951 | ppl   4.93 | acc 0.5337 | ece 0.0370 | H 1.380 | miss 0.439
[     baseline] step 16500 | tr_full  1.4081 | tr_mis  2.6744 | val_ce 1.5827 | ppl   4.87 | acc 0.5366 | ece 0.0377 | H 1.377 | miss 0.438
[     baseline] step 16750 | tr_full  1.3940 | tr_mis  2.6945 | val_ce 1.5780 | ppl   4.85 | acc 0.5374 | ece 0.0382 | H 1.375 | miss 0.437
[     baseline] step 17000 | tr_full  1.3985 | tr_mis  2.6791 | val_ce 1.5896 | ppl   4.90 | acc 0.5366 | ece 0.0462 | H 1.347 | miss 0.438
[     baseline] step 17250 | tr_full  1.3897 | tr_mis  2.6714 | val_ce 1.5891 | ppl   4.90 | acc 0.5371 | ece 0.0502 | H 1.335 | miss 0.436
[     baseline] step 17500 | tr_full  1.4154 | tr_mis  2.6976 | val_ce 1.5897 | ppl   4.90 | acc 0.5374 | ece 0.0431 | H 1.355 | miss 0.436
[     baseline] step 17750 | tr_full  1.4026 | tr_mis  2.6949 | val_ce 1.5835 | ppl   4.87 | acc 0.5391 | ece 0.0489 | H 1.329 | miss 0.435
[     baseline] step 18000 | tr_full  1.4176 | tr_mis  2.6956 | val_ce 1.5807 | ppl   4.86 | acc 0.5391 | ece 0.0456 | H 1.337 | miss 0.435
[     baseline] step 18250 | tr_full  1.3481 | tr_mis  2.6206 | val_ce 1.5807 | ppl   4.86 | acc 0.5388 | ece 0.0396 | H 1.359 | miss 0.432
[     baseline] step 18500 | tr_full  1.4370 | tr_mis  2.7337 | val_ce 1.5730 | ppl   4.82 | acc 0.5404 | ece 0.0396 | H 1.351 | miss 0.434
[     baseline] step 18750 | tr_full  1.3934 | tr_mis  2.6589 | val_ce 1.5783 | ppl   4.85 | acc 0.5399 | ece 0.0448 | H 1.332 | miss 0.432
[     baseline] step 19000 | tr_full  1.3804 | tr_mis  2.6423 | val_ce 1.5723 | ppl   4.82 | acc 0.5400 | ece 0.0441 | H 1.340 | miss 0.432
[     baseline] step 19250 | tr_full  1.3838 | tr_mis  2.6003 | val_ce 1.5710 | ppl   4.81 | acc 0.5408 | ece 0.0417 | H 1.347 | miss 0.431
[     baseline] step 19500 | tr_full  1.4082 | tr_mis  2.6779 | val_ce 1.5670 | ppl   4.79 | acc 0.5417 | ece 0.0394 | H 1.344 | miss 0.432
[     baseline] step 19750 | tr_full  1.3614 | tr_mis  2.6407 | val_ce 1.5686 | ppl   4.80 | acc 0.5417 | ece 0.0409 | H 1.338 | miss 0.430
[     baseline] step 20000 | tr_full  1.3859 | tr_mis  2.6943 | val_ce 1.5716 | ppl   4.81 | acc 0.5421 | ece 0.0466 | H 1.327 | miss 0.430
[     baseline] step 20250 | tr_full  1.3800 | tr_mis  2.6590 | val_ce 1.5651 | ppl   4.78 | acc 0.5403 | ece 0.0444 | H 1.333 | miss 0.429
[     baseline] step 20500 | tr_full  1.3879 | tr_mis  2.6873 | val_ce 1.5634 | ppl   4.78 | acc 0.5418 | ece 0.0437 | H 1.342 | miss 0.428
[     baseline] step 20750 | tr_full  1.3254 | tr_mis  2.6295 | val_ce 1.5611 | ppl   4.76 | acc 0.5419 | ece 0.0368 | H 1.351 | miss 0.429
[     baseline] step 21000 | tr_full  1.3653 | tr_mis  2.6708 | val_ce 1.5608 | ppl   4.76 | acc 0.5437 | ece 0.0411 | H 1.335 | miss 0.428
[     baseline] step 21250 | tr_full  1.3447 | tr_mis  2.6784 | val_ce 1.5598 | ppl   4.76 | acc 0.5427 | ece 0.0470 | H 1.322 | miss 0.428
[     baseline] step 21500 | tr_full  1.3921 | tr_mis  2.6703 | val_ce 1.5661 | ppl   4.79 | acc 0.5429 | ece 0.0443 | H 1.326 | miss 0.427
[     baseline] step 21750 | tr_full  1.3725 | tr_mis  2.6905 | val_ce 1.5593 | ppl   4.76 | acc 0.5437 | ece 0.0403 | H 1.340 | miss 0.427
[     baseline] step 22000 | tr_full  1.3773 | tr_mis  2.6619 | val_ce 1.5653 | ppl   4.78 | acc 0.5427 | ece 0.0417 | H 1.328 | miss 0.426
[     baseline] step 22250 | tr_full  1.3426 | tr_mis  2.6815 | val_ce 1.5634 | ppl   4.77 | acc 0.5432 | ece 0.0516 | H 1.308 | miss 0.426
