======================================================================
Phase 0: Gaussian embedding-noise pretraining (std=1.0)
======================================================================
  [noise-pretrain] step     1/500 | loss 66.3001 (chance=10.413) | std=1.00 | 0.7s
  [noise-pretrain] step   100/500 | loss 32.9704 (chance=10.413) | std=1.00 | 22.6s
  [noise-pretrain] step   200/500 | loss 24.2870 (chance=10.413) | std=1.00 | 45.9s
  [noise-pretrain] step   300/500 | loss 18.3145 (chance=10.413) | std=1.00 | 70.3s
  [noise-pretrain] step   400/500 | loss 14.7699 (chance=10.413) | std=1.00 | 95.9s
  [noise-pretrain] step   500/500 | loss 12.8712 (chance=10.413) | std=1.00 | 122.5s
  done.

Phase 1 (baseline): skipped via --skip_baselines
Phase 2 (mistake-only): skipped via --skip_baselines

======================================================================
Phase 3+: Hybrid (lambda=0.1)  [loss = CE_mistakes + 0.1 * CE_correct]
======================================================================
[hybrid-lam0.1] step  7250 | tr_full  5.6386 | tr_mis  6.7057 | val_ce 5.5790 | ppl 264.82 | acc 0.2187 | ece 0.0617 | H 5.852 | miss 0.788
[hybrid-lam0.1] step  7500 | tr_full  5.5970 | tr_mis  6.6643 | val_ce 5.5661 | ppl 261.42 | acc 0.2186 | ece 0.0618 | H 5.813 | miss 0.787
[hybrid-lam0.1] step  7750 | tr_full  5.5614 | tr_mis  6.6271 | val_ce 5.5481 | ppl 256.74 | acc 0.2188 | ece 0.0676 | H 5.871 | miss 0.786
[hybrid-lam0.1] step  8000 | tr_full  5.5199 | tr_mis  6.5865 | val_ce 5.5175 | ppl 249.01 | acc 0.2217 | ece 0.0666 | H 5.779 | miss 0.784
[hybrid-lam0.1] step  8250 | tr_full  5.4894 | tr_mis  6.5533 | val_ce 5.4891 | ppl 242.05 | acc 0.2220 | ece 0.0597 | H 5.708 | miss 0.783
[hybrid-lam0.1] step  8500 | tr_full  5.4448 | tr_mis  6.5159 | val_ce 5.4589 | ppl 234.84 | acc 0.2229 | ece 0.0572 | H 5.724 | miss 0.781
[hybrid-lam0.1] step  8750 | tr_full  5.4079 | tr_mis  6.4725 | val_ce 5.4389 | ppl 230.19 | acc 0.2231 | ece 0.0582 | H 5.683 | miss 0.781
[hybrid-lam0.1] step  9000 | tr_full  5.3759 | tr_mis  6.4440 | val_ce 5.4359 | ppl 229.50 | acc 0.2228 | ece 0.0645 | H 5.768 | miss 0.779
[hybrid-lam0.1] step  9250 | tr_full  5.3524 | tr_mis  6.4139 | val_ce 5.3965 | ppl 220.64 | acc 0.2255 | ece 0.0622 | H 5.678 | miss 0.779
[hybrid-lam0.1] step  9500 | tr_full  5.3249 | tr_mis  6.3895 | val_ce 5.3810 | ppl 217.23 | acc 0.2239 | ece 0.0660 | H 5.709 | miss 0.778
